	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
							fracreg1	fracreg2	fracreg4
	betareg1		betareg2		betareg4		scale	scale	scale
VARIABLES	CS	scale	CS	scale	CS	scale	CS	CS	CS
									
rtfpna	0.290***		0.329***		0.195***		0.175***	0.199***	0.120***
	(0.0266)		(0.0251)		(0.0183)		(0.0164)	(0.0156)	(0.0112)
1955.year			0.000228		0.000719			-0.000448	0.000529
			(0.105)		(0.0204)			(0.0691)	(0.0128)
1956.year			-0.0154		-0.0134			-0.00985	-0.00830
			(0.115)		(0.0222)			(0.0755)	(0.0140)
1957.year			-0.0133		-0.0100			-0.00855	-0.00616
			(0.112)		(0.0196)			(0.0732)	(0.0124)
1958.year			-0.000470		0.00490			-0.000166	0.00312
			(0.112)		(0.0200)			(0.0733)	(0.0127)
1959.year			0.0244		0.0333			0.0164	0.0208
			(0.118)		(0.0242)			(0.0773)	(0.0153)
1960.year			-0.0572		-0.0311			-0.0356	-0.0182
			(0.113)		(0.0463)			(0.0733)	(0.0284)
1961.year			-0.0677		-0.0405			-0.0428	-0.0243
			(0.106)		(0.0365)			(0.0690)	(0.0225)
1962.year			-0.0852		-0.0561*			-0.0544	-0.0342*
			(0.0976)		(0.0296)			(0.0638)	(0.0183)
1963.year			-0.0918		-0.0594*			-0.0585	-0.0362*
			(0.0955)		(0.0308)			(0.0625)	(0.0191)
1964.year			-0.0945		-0.0595*			-0.0599	-0.0362*
			(0.0976)		(0.0322)			(0.0639)	(0.0199)
1965.year			-0.103		-0.0682			-0.0651	-0.0412
			(0.0984)		(0.0443)			(0.0643)	(0.0273)
1966.year			-0.114		-0.0791			-0.0725	-0.0477
			(0.0927)		(0.0489)			(0.0606)	(0.0301)
1967.year			-0.111		-0.0735*			-0.0706	-0.0444*
			(0.0902)		(0.0428)			(0.0590)	(0.0264)
1968.year			-0.131		-0.0922**			-0.0838	-0.0558**
			(0.0871)		(0.0461)			(0.0571)	(0.0282)
1969.year			0.00414		-0.0933**			0.00781	-0.0556**
			(0.146)		(0.0426)			(0.0969)	(0.0263)
1970.year			-0.102		-0.0547			-0.0630	-0.0319
			(0.0981)		(0.0611)			(0.0645)	(0.0380)
1971.year			-0.231*		-0.334***			-0.132*	-0.198***
			(0.124)		(0.0793)			(0.0780)	(0.0472)
1972.year			-0.203		-0.288***			-0.112	-0.169***
			(0.135)		(0.0889)			(0.0828)	(0.0507)
1973.year			-0.110		-0.246***			-0.0517	-0.144***
			(0.130)		(0.0787)			(0.0810)	(0.0446)
1974.year			-0.0424		-0.157**			-0.0109	-0.0929**
			(0.125)		(0.0630)			(0.0798)	(0.0375)
1975.year			-0.126		-0.184***			-0.0612	-0.110***
			(0.134)		(0.0657)			(0.0843)	(0.0388)
1976.year			-0.134		-0.211***			-0.0718	-0.128***
			(0.117)		(0.0532)			(0.0759)	(0.0320)
1977.year			-0.0911		-0.204***			-0.0453	-0.123***
			(0.119)		(0.0532)			(0.0775)	(0.0322)
1978.year			0.000460		-0.0866			0.0108	-0.0520
			(0.113)		(0.0540)			(0.0737)	(0.0328)
1979.year			-0.00248		-0.0886**			0.0100	-0.0536**
			(0.111)		(0.0374)			(0.0714)	(0.0233)
1980.year			0.0749		-0.0530			0.0640	-0.0313
			(0.123)		(0.0391)			(0.0788)	(0.0241)
1981.year			0.00195		-0.0834**			0.0158	-0.0503**
			(0.112)		(0.0384)			(0.0722)	(0.0239)
1982.year			-0.0247		-0.115**			-0.00152	-0.0686**
			(0.113)		(0.0452)			(0.0729)	(0.0274)
1983.year			0.0109		-0.0853*			0.0193	-0.0498*
			(0.109)		(0.0457)			(0.0704)	(0.0279)
1984.year			0.0424		-0.0602			0.0370	-0.0335
			(0.105)		(0.0517)			(0.0688)	(0.0313)
1985.year			0.0554		-0.0252			0.0463	-0.0135
			(0.107)		(0.0448)			(0.0696)	(0.0274)
1986.year			0.0853		0.0138			0.0647	0.0111
			(0.106)		(0.0435)			(0.0690)	(0.0265)
1987.year			0.103		0.0326			0.0760	0.0218
			(0.106)		(0.0388)			(0.0689)	(0.0239)
1988.year			0.140		0.0612			0.0983	0.0393*
			(0.104)		(0.0374)			(0.0678)	(0.0232)
1989.year			0.165		0.0880**			0.114*	0.0556***
			(0.104)		(0.0348)			(0.0676)	(0.0215)
1990.year			0.181*		0.0735**			0.124*	0.0465**
			(0.103)		(0.0374)			(0.0669)	(0.0231)
1991.year			0.161		0.0329			0.112*	0.0214
			(0.104)		(0.0394)			(0.0671)	(0.0242)
1992.year			0.148		0.0295			0.104	0.0195
			(0.102)		(0.0392)			(0.0662)	(0.0242)
1993.year			0.231**		0.0574*			0.156**	0.0361*
			(0.101)		(0.0347)			(0.0652)	(0.0214)
1994.year			0.296***		0.0818***			0.197***	0.0517***
			(0.0980)		(0.0293)			(0.0636)	(0.0183)
1995.year			0.314***		0.0670**			0.209***	0.0435**
			(0.0973)		(0.0309)			(0.0631)	(0.0190)
1996.year			0.245**		0.0761**			0.167***	0.0497***
			(0.0962)		(0.0305)			(0.0622)	(0.0187)
1997.year			0.267***		0.0880***			0.182***	0.0571***
			(0.0961)		(0.0287)			(0.0618)	(0.0177)
1998.year			0.283***		0.0661**			0.189***	0.0420**
			(0.0950)		(0.0269)			(0.0615)	(0.0169)
1999.year			0.316***		0.0939***			0.208***	0.0591***
			(0.0944)		(0.0263)			(0.0610)	(0.0166)
2000.year			0.348***		0.129***			0.227***	0.0809***
			(0.0956)		(0.0266)			(0.0614)	(0.0167)
2001.year			0.320***		0.120***			0.211***	0.0756***
			(0.0945)		(0.0260)			(0.0610)	(0.0164)
2002.year			0.342***		0.131***			0.226***	0.0824***
			(0.0953)		(0.0254)			(0.0616)	(0.0160)
2003.year			0.387***		0.152***			0.254***	0.0956***
			(0.0959)		(0.0254)			(0.0620)	(0.0160)
2004.year			0.408***		0.180***			0.269***	0.114***
			(0.0961)		(0.0274)			(0.0621)	(0.0170)
2005.year			0.423***		0.192***			0.276***	0.121***
			(0.0964)		(0.0271)			(0.0622)	(0.0170)
2006.year			0.422***		0.194***			0.277***	0.126***
			(0.0987)		(0.0332)			(0.0630)	(0.0192)
2007.year			0.438***		0.218***			0.285***	0.137***
			(0.0950)		(0.0274)			(0.0616)	(0.0172)
2008.year			0.443***		0.222***			0.287***	0.139***
			(0.0942)		(0.0285)			(0.0611)	(0.0178)
2009.year			0.414***		0.176***			0.270***	0.111***
			(0.0937)		(0.0282)			(0.0609)	(0.0176)
2010.year			0.429***		0.207***			0.279***	0.130***
			(0.0938)		(0.0279)			(0.0609)	(0.0174)
2011.year			0.412***		0.212***			0.268***	0.133***
			(0.0936)		(0.0291)			(0.0608)	(0.0181)
2012.year			0.408***		0.203***			0.265***	0.128***
			(0.0940)		(0.0305)			(0.0610)	(0.0189)
2013.year			0.407***		0.204***			0.265***	0.128***
			(0.0937)		(0.0303)			(0.0608)	(0.0188)
2014.year			0.417***		0.212***			0.271***	0.133***
			(0.0933)		(0.0273)			(0.0606)	(0.0170)
2015.year			0.392***		0.213***			0.257***	0.133***
			(0.0919)		(0.0286)			(0.0600)	(0.0178)
2016.year			0.358***		0.210***			0.235***	0.132***
			(0.0922)		(0.0299)			(0.0601)	(0.0186)
2017.year			0.341***		0.205***			0.224***	0.129***
			(0.0940)		(0.0319)			(0.0611)	(0.0198)
2018.year			0.317***		0.178***			0.210***	0.112***
			(0.0958)		(0.0334)			(0.0623)	(0.0207)
2019.year			-0.0247		0.0815***			-0.00996	0.0512***
			(0.0847)		(0.0228)			(0.0555)	(0.0143)
6.country_id					-0.489***				-0.302***
					(0.0822)				(0.0508)
7.country_id					-1.353***				-0.838***
					(0.0619)				(0.0374)
9.country_id					-1.323***				-0.821***
					(0.0516)				(0.0311)
